Species;Pred;Lower95;Upper95
Oak;0.2755726146855713;0.21494380748936104;0.3377782007001904
Beech;0.2973590989015703;0.24471927479106803;0.35177149658198936
Fir;0.15931173820100078;0.08796506922902037;0.23212382750447702
Spruce;0.15375645120871453;0.07966478958496226;0.22773377785897297
DouglasFir;0.16718520024196332;0.09373276239835993;0.24089285176676634
ScotsPine;0.08589251500514136;0.007452667375900113;0.16607637807153197
MaritimePine;0.22719539689082535;0.1540478401683354;0.2965495111868477
Poplar;0.19034627961365153;0.1313202460395948;0.250592921257913
Coppice;0.2431143688715679;0.18991496433330202;0.29703311161590107
