"excludedGroup","Parameter","Estimate"
0,"b0",-2.1494922603379
0,"b1",-3.9068729288158
0,"b2",-5.9021652693582
0,"b3",-1.7998072780394
0,"b4",-2.6433079195988
0,"b5",-2.0131851876457
0,"b6",-5.1742160034967
0,"b7",-1.5899196882161
0,"b8",-0.9017803873933
0,"b9",3.86949669651762
0,"b10",-11.397612005475
1,"b0",-2.14913635519
1,"b1",-3.7821950258055
1,"b2",-5.9612062974128
1,"b3",-1.824394497339
1,"b4",-3.0211895151424
1,"b5",-1.8056768372439
1,"b6",-4.9745608761492
1,"b7",-1.3732706282627
1,"b8",-0.3061376205659
1,"b9",3.81024894251
1,"b10",-10.942711311238
2,"b0",-2.1077384933209
2,"b1",-3.87109393255
2,"b2",-5.8199526372934
2,"b3",-2.0523163893788
2,"b4",-2.5535948163334
2,"b5",-2.0386226166629
2,"b6",-4.852475645851
2,"b7",-1.2067207715142
2,"b8",-0.8531944632287
2,"b9",3.67512053032837
2,"b10",-11.29726163896
3,"b0",-2.1429932627548
3,"b1",-3.641740410005
3,"b2",-5.6966462123354
3,"b3",-1.6973798404818
3,"b4",-2.4605152590759
3,"b5",-1.9129898291982
3,"b6",-5.0160449792608
3,"b7",-1.381646495861
3,"b8",-1.0201668244691
3,"b9",3.57594208440385
3,"b10",-10.277174814692
4,"b0",-2.1072566135529
4,"b1",-3.9931304827298
4,"b2",-6.1295695957983
4,"b3",-1.529418428881
4,"b4",-2.55189061896
4,"b5",-1.8604815739624
4,"b6",-5.025964311113
4,"b7",-2.7144779312446
4,"b8",-3.2170057608821
4,"b9",3.90337749438265
4,"b10",-10.902418038191
5,"b0",-2.1129006683531
5,"b1",-4.059161353934
5,"b2",-5.778363604066
5,"b3",-0.7358319801796
5,"b4",-0.3200922167733
5,"b5",-1.6294710937986
5,"b6",-5.1264676870747
5,"b7",-0.7194424736023
5,"b8",-2.3596414170987
5,"b9",3.98598409817849
5,"b10",-11.230740544475
6,"b0",-2.1755790435979
6,"b1",-3.8765939017845
6,"b2",-5.9499463899318
6,"b3",-1.7499495496008
6,"b4",-2.6146790251894
6,"b5",-2.2272591892201
6,"b6",-5.5525815152488
6,"b7",-1.8096490200565
6,"b8",-1.1240534026098
6,"b9",3.8755163012867
6,"b10",-11.732493937067
7,"b0",-2.2000454513123
7,"b1",-3.9001103641586
7,"b2",-5.8015540396736
7,"b3",-1.6786929130064
7,"b4",-2.5183965851412
7,"b5",-2.1250600620689
7,"b6",-5.1924009814103
7,"b7",-1.7680251105349
7,"b8",-0.9364705653718
7,"b9",3.69578251690223
7,"b10",-11.283940899415
8,"b0",-2.1670200079687
8,"b1",-3.8053917937443
8,"b2",-5.8963208580495
8,"b3",-1.5825990763505
8,"b4",-2.5208830147404
8,"b5",-2.4097834756491
8,"b6",-5.256734690373
8,"b7",-2.6359216493653
8,"b8",-1.3610126012166
8,"b9",3.84643430888435
8,"b10",-11.760966389828
9,"b0",-2.1742617170747
9,"b1",-4.3474432880957
9,"b2",-6.1118672335555
9,"b3",-2.1305874494433
9,"b4",-3.1696386526032
9,"b5",-2.0794858197974
9,"b6",-5.1774400871873
9,"b7",-1.4915120334413
9,"b8",-0.6834222203112
9,"b9",4.7431682183405
9,"b10",-13.211739001596
10,"b0",-2.1474161307866
10,"b1",-3.9038659927532
10,"b2",-5.9622663412946
10,"b3",-1.8317858166072
10,"b4",-2.6357434161004
10,"b5",-1.7943248099782
10,"b6",-5.3531364468318
10,"b7",-1.5013842157583
10,"b8",-0.8795654605501
10,"b9",3.80964437888648
10,"b10",-11.295804981575
