"speciesID","estimate"
1,-4.52297966516894
1,0.601144557597241
1,-0.00224334702898491
2,-10.4884813329748
2,0.562370526709566
2,-0.00267438673531163
3,-10.3358342638443
3,0.561560295749902
3,-0.00321631732349003
4,-6.02926290499894
4,0.598900662382436
4,-0.00301657971823125
5,0.542697641273
5,-0.00363848751809282
6,-21.3803685240809
6,0.658510209625777
6,-0.00794899870022352
7,-8.34290324558638
7,0.534273860898147
7,-0.00341149005259967
8,-4.44284583718842
8,0.445039474010665
9,-9.47121877871179
9,0.583155492840286
9,-0.00239882542331662
10,-4.49844647056759
10,0.510741141205177
10,-0.00133180402957431
11,0.545137553326047
11,-0.00281698635471235
12,0.53149373670101
12,-0.00157967338020946
13,-8.06318405953073
13,0.595976766605651
13,-0.00260492176053261
14,-18.9772665965697
14,0.487941008543038
15,-8.66611611914354
15,0.5839420569057
15,-0.00267942383237206
16,-8.91972877267493
16,0.563303595960366
16,-0.00212094551089116
17,0.525757871467994
17,-0.00230003903075061
18,0.521545118694649
18,-0.00127133422536523
19,-8.4269467635284
19,0.585712705757187
19,-0.00274803165162682
20,-1.71229987880656
20,0.513036467071334
20,-0.00112352940635284
21,-3.34583020482521
21,0.572927746993081
21,-0.00256605525495575
22,-2.24708453621877
22,0.498463077313551
22,-0.00121189578599079
23,0.563281332437193
24,-7.15010372230675
24,0.543055456942044
24,-0.00295121475223175
25,0.430546451191868
26,-4.4376841248931
26,0.545477299757373
26,-0.00139671463674727
27,0.50568394782016
28,-3.31940589966121
28,0.566424152371922
28,-0.00177814468509428
29,0.455887662999743
30,0.526999057472928
30,-0.00450596434728746
